Record_ID,Author(s),Year,Title,Journal / Conference,"Database (PubMed, MEDLINE, Scopus, WoS, etc.)",DOI / PMID,Country / Region of Study,"Health Informatics Domain (e.g., Clinical Decision Support, EHR, mHealth, Telemedicine)","Medical Specialty (e.g., Obstetrics, Oncology, Cardiology)","Type of Fuzzy Logic Used (FL, T2FL, IFS, PFS, HFS, etc.)","Hybrid Methods (ML, DL, MCDM, Optimization, etc.)",Purpose / Objective of Study,"Data Source (Clinical data, Sensor data, Survey, Public dataset)",Sample Size / Dataset Size,Data Preprocessing Techniques,Model / System Architecture,Decision-Making Technique,"Evaluation Metrics (Accuracy, AUC, RMSE, etc.)",Key Results / Findings,Explainability / Interpretability Consideration,"Validation Method (Cross-validation, Expert validation, Clinical validation)",Challenges / Limitations,Future Research Directions,Contribution to Health Informatics Practice,Fuzzy Taxonomy Category (Classical / Orthopair / Higher-order / Hybrid),Uncertainty Handling Mechanism,Role of MCDM in the Model,Method Category (Standalone / Hybrid),Reported Performance Trade-offs,Identified Research Gap Type
33,Nora Shoaip; Shaker El-Sappagh; Sherif Barakat; Mohammed Elmogy,2019,Ontology enhanced fuzzy clinical decision support system,Elsevier Book Chapter,Scopus,10.1016/b978-0-12-815370-3.00007-4,Egypt,Clinical Decision Support,General Medicine,Fuzzy Logic; Ontology,Semantic modeling,To enhance semantic interoperability in CDSS,Knowledge bases,Not applicable,Ontology alignment,Ontology-based fuzzy CDSS,Semantic inference,Consistency,Improved semantic reasoning,High explainability,Conceptual validation,Implementation complexity,EHR integration,Enhances interoperable CDSS,Hybrid,Fuzzy–semantic uncertainty,No,Hybrid,Complexity vs interoperability,Deployment gap
34,Arunodaya Raj Mishra; Pratibha Rani; Adel Fahad Alrasheedi; Rajeev Dwivedi,2023,Evaluating the blockchain-based healthcare supply chain using interval-valued Pythagorean fuzzy entropy-based decision support system,Engineering Applications of Artificial Intelligence,Scopus; WoS,10.1016/j.engappai.2023.107112,India,Healthcare Supply Chain,Logistics,Pythagorean Fuzzy Sets,Fuzzy entropy,To evaluate blockchain-enabled healthcare supply chains,Expert opinions,Not applicable,Data normalization,Pythagorean fuzzy entropy model,MCDM,Ranking stability,Improved evaluation robustness,Moderate interpretability,Comparative analysis,Model complexity,Dynamic supply chain modeling,Supports strategic supply decisions,Higher-order,Pythagorean fuzzy uncertainty,Yes,Hybrid,Robustness vs complexity,Limited operational validation
35,Abolfazl Ghorbani; Fatemeh Davoodi; Kamran Zamanifar,2023,Using type-2 fuzzy ontology to improve semantic interoperability for healthcare and diagnosis of depression,Artificial Intelligence in Medicine,Scopus; WoS; PubMed,10.1016/j.artmed.2022.102452,Iran,EHR; Clinical Decision Support,Psychiatry,Type-2 Fuzzy Logic,Ontology modeling,To improve depression diagnosis interoperability,Clinical knowledge bases,Not reported,Ontology preprocessing,Type-2 fuzzy ontology,Semantic inference,Accuracy,Improved interoperability and diagnosis,High interpretability,Expert validation,Ontology complexity,EHR integration,Enhances mental health CDSS,Higher-order,Type-2 fuzzy uncertainty,No,Hybrid,Accuracy vs complexity,Scalability challenge
36,Tapan Senapati; Arun Sarkar; Guiyun Chen,2024,Enhancing healthcare supply chain management through AI-driven group decision-making with Sugeno–Weber triangular norms in a dual hesitant q-rung orthopair fuzzy context,Engineering Applications of Artificial Intelligence,Scopus; WoS,10.1016/j.engappai.2024.108794,India,Healthcare Supply Chain,Logistics,q-Rung Orthopair Fuzzy Sets,Group decision-making,To improve consensus-based healthcare SCM decisions,Expert judgment,Not applicable,Data standardization,q-Rung fuzzy group decision model,MCDM,Consensus score,Improved group decision quality,Moderate interpretability,Theoretical validation,Computational cost,Algorithm simplification,Higher-order SCM decisions,Higher-order,q-Rung fuzzy uncertainty,Yes,Hybrid,Consensus vs complexity,Scalability gap
37,Yajie Liao; Xindong Peng,2024,Pythagorean fuzzy information measure with applications in multi-criteria decision-making and medical diagnosis,Engineering Applications of Artificial Intelligence,Scopus; WoS,10.1016/j.engappai.2024.108927,China,Medical Diagnosis,General Diagnosis,Pythagorean Fuzzy Sets,MCDM,To improve diagnostic decision discrimination,Benchmark datasets,Not reported,Data normalization,Pythagorean fuzzy information model,MCDM,Accuracy,Improved diagnostic differentiation,Moderate interpretability,Theoretical validation,Limited clinical testing,Real-world diagnosis studies,Higher-order diagnosis support,Higher-order,Pythagorean fuzzy uncertainty,Yes,Hybrid,Precision vs usability,Limited applied studies
38,Arunodaya Raj Mishra; Pratibha Rani; Parvaneh Saeidi; Adel Fahad Alrasheedi; Ahmad M. Alshamrani,2024,Decision support framework for healthcare waste disposal techniques assessment using an integrated picture fuzzy gained and lost dominance score-based approach,Engineering Applications of Artificial Intelligence,Scopus; WoS,10.1016/j.engappai.2024.109394,India,Healthcare Waste Management,Public Health,Picture Fuzzy Sets,MCDM,To select optimal healthcare waste disposal methods,Expert judgment,Not applicable,Data normalization,Picture fuzzy dominance framework,MCDM,Ranking effectiveness,Effective waste disposal ranking,Moderate interpretability,Comparative validation,Subjective judgments,Field implementation,Improves waste management decisions,Higher-order,Picture fuzzy uncertainty,Yes,Hybrid,Robustness vs subjectivity,Operational validation gap
39,Tianhua Chen; Changjing Shang; Pan Su; Elpida Keravnou-Papailiou; Yitian Zhao; Grigoris Antoniou; Qiang Shen,2021,A Decision Tree-Initialised Neuro-fuzzy Approach for Clinical Decision Support,Artificial Intelligence in Medicine,Scopus; WoS; PubMed,10.1016/j.artmed.2020.101986,UK,Clinical Decision Support,General Medicine,Neuro-Fuzzy Systems,Decision Trees,To improve learning efficiency in CDSS,Clinical datasets,Not reported,Data preprocessing; normalization,Decision tree–initialized neuro-fuzzy system,Hybrid inference,Accuracy,Improved prediction accuracy,Moderate explainability,Cross-validation,Model complexity,Explainable neuro-fuzzy models,Enhances adaptive CDSS,Hybrid,Fuzzy learning uncertainty,No,Hybrid,Accuracy vs interpretability,Explainability gap
40,Jeroen S. de Bruin; Klaus-Peter Adlassnig; Alexander Blacky; Walter Koller,2016,Detecting borderline infection in an automated monitoring system for healthcare-associated infection using fuzzy logic,Artificial Intelligence in Medicine,Scopus; WoS; PubMed,10.1016/j.artmed.2016.04.005,Austria,Clinical Monitoring,Infectious Disease,Fuzzy Logic,Rule-based system,To detect borderline infections early,Clinical monitoring data,Not reported,Data normalization,Fuzzy rule-based monitoring,Fuzzy inference,Accuracy,Early infection detection,High interpretability,Clinical validation,Limited scalability,ICU-wide deployment,Improves infection surveillance,Classical,Fuzzy linguistic uncertainty,No,Standalone,Simplicity vs scalability,Large-scale validation gap
41,Elif Haktan?r; Cengiz Kahraman,2022,A novel picture fuzzy CRITIC & REGIME methodology: Wearable health technology application,Engineering Applications of Artificial Intelligence,Scopus; WoS,10.1016/j.engappai.2022.104942,Turkey,Wearable Health Technology,Public Health,Picture Fuzzy Sets,CRITIC; REGIME,To evaluate wearable health technologies,Expert judgment,Not applicable,Data normalization,Picture fuzzy MCDM framework,MCDM,Ranking stability,Improved technology evaluation,Moderate interpretability,Comparative validation,Expert bias,Clinical performance studies,Supports wearable selection,Higher-order,Picture fuzzy uncertainty,Yes,Hybrid,Robustness vs subjectivity,Lack of clinical trials
42,Peijia Ren; Zeshui Xu; Huchang Liao; Xiao-Jun Zeng,2017,A thermodynamic method of intuitionistic fuzzy MCDM to assist the hierarchical medical system in China,Information Sciences,Scopus; WoS,10.1016/j.ins.2017.08.070,China,Healthcare Management,Health Policy,Intuitionistic Fuzzy Sets,MCDM,To support hierarchical healthcare decision-making,Expert judgment,Not applicable,Data standardization,Thermodynamic fuzzy MCDM,MCDM,Decision consistency,Improved policy decision quality,Moderate interpretability,Theoretical validation,Context dependency,Cross-country studies,Supports health system planning,Orthopair,Intuitionistic fuzzy uncertainty,Yes,Hybrid,Context specificity,Generalization gap
43,Mohammad Ennab; Hamid Mcheick,2025,A novel convolutional interpretability model for pixel-level interpretation of medical image classification through fusion of machine learning and fuzzy logic,Smart Health,Scopus; WoS,10.1016/j.smhl.2024.100535,Canada,Medical Image Analysis,Radiology,Fuzzy Logic,Deep Learning (CNN),To provide explainable medical image classification,Imaging datasets,Not reported,Image normalization; augmentation,Fuzzy-integrated CNN,Hybrid inference,Accuracy; AUC,High accuracy with interpretability,Strong explainability,Experimental validation,High computational cost,Real-time explainable AI,Advances explainable medical AI,Hybrid,Fuzzy feature uncertainty,No,Hybrid,Accuracy vs explainability,Clinical deployment gap
44,Miguel Ortiz-Barrios; Natalia Jaramillo-Rueda; Andrea Espeleta-Aris; Berk Kucukaltan; Llanos Cuenca,2025,Integrated fuzzy decision-making methodology with intuitionistic fuzzy numbers: An application for disaster preparedness in clinical laboratories,Expert Systems with Applications,Scopus; Web of Science,10.1016/j.eswa.2024.125712,Colombia,Clinical Decision Support,Clinical Laboratory Management,Intuitionistic Fuzzy Sets,Multi-Criteria Decision-Making,To evaluate and improve disaster preparedness in clinical laboratories,Expert judgment and scenario data,Not applicable,Data normalization and linguistic scaling,Intuitionistic fuzzy decision framework,Fuzzy multi-criteria ranking,Decision consistency and ranking robustness,Improved preparedness prioritization and decision robustness,Moderate interpretability via fuzzy rules,Expert validation,Subjectivity of expert inputs,Integration with real-time laboratory systems,Enhances laboratory disaster readiness,Orthopair,Intuitionistic membership and non-membership degrees,Yes,Hybrid,Decision robustness versus computational complexity,Lack of real disaster case validation
45,Bharath Subramani; Magudeeswaran Veluchamy,2019,Fuzzy contextual inference system for medical image enhancement,Measurement,Scopus; Web of Science,10.1016/j.measurement.2019.106967,India,Medical Image Processing,Radiology,Fuzzy Logic,Image processing algorithms,To enhance medical image quality using contextual fuzzy inference,Imaging datasets,Not reported,Image normalization and noise filtering,Context-aware fuzzy inference model,Fuzzy rule-based enhancement,Peak signal-to-noise ratio; Structural similarity index,Improved contrast and visibility of medical images,High pixel-level interpretability,Experimental validation,Parameter sensitivity,Extension to multimodal imaging,Improves diagnostic image quality,Classical,Fuzzy contextual uncertainty,No,Standalone,Image quality improvement versus processing time,Limited clinical validation
46,Marcin Mrugalski,2023,Identification and health-aware economic control of production systems: A fuzzy logic max plus algebraic approach,Engineering Applications of Artificial Intelligence,Scopus; Web of Science,10.1016/j.engappai.2022.105802,Poland,Health-Aware Control Systems,Industrial Health Monitoring,Fuzzy Logic,Max-plus algebraic control,To integrate health awareness into economic control systems,Sensor and system data,Not reported,Data scaling and filtering,Fuzzy max-plus algebraic control model,Fuzzy control inference,Control stability and cost efficiency,Improved system health awareness and economic performance,Model-based interpretability,Simulation-based validation,Model scalability,Industrial deployment studies,Supports resilient system control,Classical,Fuzzy system uncertainty,No,Standalone,Control optimality versus model complexity,Application-specific validation gap
47,Esra Ilbahar; Ali Kara?an; Selcuk Cebi; Cengiz Kahraman,2018,A novel approach to risk assessment for occupational health and safety using Pythagorean fuzzy AHP & fuzzy inference system,Safety Science,Scopus; Web of Science,10.1016/j.ssci.2017.10.025,Turkey,Occupational Health and Safety,Workplace Safety,Pythagorean Fuzzy Sets,Fuzzy Analytic Hierarchy Process,To assess occupational health and safety risks,Expert judgment,Not applicable,Linguistic scaling and normalization,Pythagorean fuzzy AHP with inference,Fuzzy risk prioritization,Risk ranking consistency and reliability,Improved identification of critical risks,Moderate interpretability,Expert validation,Expert bias,Application to real workplaces,Improves occupational safety planning,Higher-order,Pythagorean fuzzy uncertainty,Yes,Hybrid,Risk sensitivity versus subjectivity,Operational validation gap
48,Abhijit Saha; Bijoy Krishna Debnath; Prasenjit Chatterjee; Annapurani K. Panaiyappan; Surajit Das; Gogineni Anusha,2024,Generalized Dombi-based probabilistic hesitant fuzzy consensus reaching model for supplier selection under healthcare supply chain framework,Engineering Applications of Artificial Intelligence,Scopus; Web of Science,10.1016/j.engappai.2024.107966,India,Healthcare Supply Chain Management,Logistics,Hesitant Fuzzy Sets,Consensus-reaching algorithms,To select optimal suppliers under uncertainty,Expert evaluations,Not applicable,Data normalization,Dombi-based hesitant fuzzy consensus model,Group decision-making consensus,Consensus level and stability,Improved supplier agreement and decision quality,Moderate interpretability,Theoretical validation,Computational complexity,Scalable consensus mechanisms,Improves healthcare procurement decisions,Higher-order,Hesitant fuzzy uncertainty,Yes,Hybrid,Consensus quality versus computation time,Scalability limitation
49,Shahzaib Ashraf; Chiranjibe Jana; Valentina E. Balas; Witold Pedrycz,2025,Decision aid technique for optimal design in wearable health monitoring devices through Disc q-Rung Orthopair Fuzzy Dombi aggregation information,Elsevier Book Chapter,Scopus,10.1016/b978-0-44-333997-4.00009-5,Pakistan,Wearable Health Technology,Public Health,q-Rung Orthopair Fuzzy Sets,Dombi aggregation,To optimize wearable health monitoring device design,Expert design evaluations,Not applicable,Linguistic normalization,q-Rung fuzzy aggregation decision aid,Multi-criteria design ranking,Ranking robustness and consistency,Improved wearable device selection,Moderate interpretability,Comparative validation,Design subjectivity,User-centered evaluation,Enhances wearable design decisions,Higher-order,q-Rung fuzzy uncertainty,Yes,Hybrid,Design accuracy versus complexity,Limited real-user validation
50,Shahzaib Ashraf; Chiranjibe Jana; Valentina E. Balas; Witold Pedrycz,2025,Disc q-Rung Orthopair Fuzzy Sugeno–Weber aggregation operators and their application in emergency healthcare decision-making,Elsevier Book Chapter,Scopus,10.1016/b978-0-44-333997-4.00011-3,Pakistan,Emergency Healthcare Decision Support,Emergency Medicine,q-Rung Orthopair Fuzzy Sets,Sugeno–Weber aggregation,To support emergency healthcare decisions,Expert assessments,Not applicable,Linguistic preprocessing,q-Rung fuzzy aggregation framework,Emergency decision prioritization,Decision reliability and robustness,Improved emergency response prioritization,Moderate interpretability,Theoretical validation,Time sensitivity,Real-time emergency integration,Supports emergency healthcare decisions,Higher-order,q-Rung fuzzy uncertainty,Yes,Hybrid,Decision speed versus robustness,Real-time validation gap
